step,value
0,22.0
1,14.0
2,22.0
3,42.0
4,16.0
5,17.0
6,13.0
7,15.0
8,50.0
9,9.0
10,13.0
11,9.0
12,21.0
13,9.0
14,9.0
15,10.0
16,9.0
17,9.0
18,10.0
19,10.0
20,9.0
21,10.0
22,10.0
23,14.0
24,16.0
25,21.0
26,28.0
27,57.0
28,31.0
29,35.0
30,32.0
31,42.0
32,53.0
33,46.0
34,69.0
35,71.0
36,44.0
37,182.0
38,52.0
39,118.0
40,142.0
41,51.0
42,200.0
43,77.0
44,165.0
45,76.0
46,99.0
47,200.0
48,92.0
49,57.0
50,119.0
51,91.0
52,70.0
53,101.0
54,188.0
55,200.0
56,136.0
57,57.0
58,200.0
59,79.0
60,200.0
61,73.0
62,200.0
63,67.0
64,195.0
65,136.0
66,103.0
67,122.0
68,79.0
69,200.0
70,121.0
71,117.0
72,115.0
73,200.0
74,91.0
75,94.0
76,89.0
77,91.0
78,200.0
79,200.0
80,200.0
81,200.0
82,200.0
83,83.0
84,89.0
85,139.0
86,103.0
87,112.0
88,89.0
89,200.0
90,104.0
91,128.0
92,118.0
93,119.0
94,78.0
95,121.0
96,108.0
97,200.0
98,118.0
99,200.0
100,99.0
101,200.0
102,99.0
103,200.0
104,200.0
105,71.0
106,89.0
107,200.0
108,200.0
109,200.0
110,84.0
111,120.0
112,137.0
113,200.0
114,108.0
115,200.0
116,137.0
117,200.0
118,200.0
119,200.0
120,200.0
121,134.0
122,86.0
123,175.0
124,200.0
125,200.0
126,200.0
127,200.0
128,200.0
129,200.0
130,200.0
131,200.0
132,200.0
133,153.0
134,200.0
135,200.0
136,123.0
137,104.0
138,81.0
139,200.0
140,200.0
141,188.0
142,200.0
143,200.0
144,124.0
145,166.0
146,200.0
147,200.0
148,200.0
149,200.0
150,200.0
151,200.0
152,200.0
153,109.0
154,108.0
155,200.0
156,200.0
157,200.0
158,200.0
159,200.0
160,200.0
161,200.0
162,200.0
163,200.0
164,200.0
165,200.0
166,200.0
167,200.0
168,200.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,200.0
175,200.0
176,200.0
177,188.0
178,200.0
179,200.0
180,200.0
181,200.0
182,200.0
183,200.0
184,200.0
185,200.0
186,200.0
187,165.0
188,189.0
189,200.0
190,200.0
191,200.0
192,200.0
193,200.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,200.0
204,200.0
205,200.0
206,200.0
207,200.0
208,200.0
209,200.0
210,200.0
211,200.0
212,200.0
213,200.0
214,200.0
215,200.0
216,200.0
217,200.0
218,200.0
219,200.0
220,200.0
221,200.0
222,200.0
223,200.0
224,200.0
225,200.0
226,200.0
227,200.0
228,200.0
229,181.0
230,200.0
231,200.0
232,200.0
233,200.0
234,200.0
235,200.0
236,200.0
237,200.0
238,200.0
239,200.0
240,200.0
241,164.0
242,200.0
243,200.0
244,200.0
245,200.0
246,200.0
247,200.0
248,200.0
249,200.0
250,200.0
251,200.0
252,200.0
253,200.0
254,200.0
255,200.0
256,200.0
257,200.0
258,181.0
259,200.0
260,200.0
261,200.0
262,200.0
263,200.0
264,200.0
265,200.0
266,200.0
267,200.0
268,200.0
269,200.0
270,200.0
271,200.0
272,200.0
273,200.0
274,200.0
275,200.0
276,200.0
277,200.0
278,200.0
279,160.0
280,200.0
281,200.0
282,200.0
283,200.0
284,200.0
285,200.0
286,200.0
287,200.0
288,200.0
289,200.0
290,200.0
291,200.0
292,200.0
293,200.0
294,200.0
295,200.0
296,191.0
297,200.0
298,200.0
299,200.0
300,200.0
301,200.0
302,200.0
303,200.0
304,200.0
305,200.0
306,200.0
307,200.0
308,200.0
309,200.0
310,200.0
311,200.0
312,200.0
313,200.0
314,200.0
315,200.0
316,200.0
317,200.0
318,200.0
319,200.0
320,200.0
321,200.0
322,200.0
323,200.0
324,180.0
325,200.0
326,200.0
327,200.0
328,200.0
329,200.0
330,200.0
331,200.0
332,200.0
333,200.0
334,200.0
335,200.0
336,200.0
337,189.0
338,200.0
339,200.0
340,197.0
341,200.0
342,200.0
343,200.0
344,200.0
345,200.0
346,200.0
347,200.0
348,200.0
349,200.0
350,200.0
351,200.0
352,200.0
353,200.0
354,200.0
355,200.0
356,194.0
357,200.0
358,192.0
359,175.0
360,200.0
361,200.0
362,200.0
363,200.0
364,187.0
365,200.0
366,200.0
367,200.0
368,200.0
369,200.0
370,178.0
371,200.0
372,200.0
373,200.0
374,200.0
375,200.0
376,200.0
377,200.0
378,200.0
379,200.0
380,200.0
